Symbol,Name,Sector,industry,Exchange
JBHT,"J.B. Hunt Transport Services, Inc.",Transportation,Trucking Freight/Courier Services,NASDAQ
JBK,Lehman ABS Corporation,Finance,Finance: Consumer Services,NYSE
JBL,Jabil Inc.,Technology,Electrical Products,NYSE
JBLU,JetBlue Airways Corporation,Transportation,Air Freight/Delivery Services,NASDAQ
JBN,Select Asset Inc.,Finance,Finance: Consumer Services,NYSE
JBR,Select Asset Inc.,Finance,Finance: Consumer Services,NYSE
JBSS,"John B. Sanfilippo & Son, Inc.",Consumer Non-Durables,Specialty Foods,NASDAQ
JBT,John Bean Technologies Corporation,Technology,Industrial Machinery/Components,NYSE
JCAP,"Jernigan Capital, Inc.",Consumer Services,Real Estate Investment Trusts,NYSE
JCI,Johnson Controls International plc,Consumer Services,Other Consumer Services,NYSE
JCOM,"j2 Global, Inc.",Technology,Telecommunications Equipment,NASDAQ
JCP,"J.C. Penney Company, Inc. Holding Company",Consumer Services,Department/Specialty Retail Stores,NYSE
JCS,"Communications Systems, Inc.",Public Utilities,Telecommunications Equipment,NASDAQ
JCTCF,Jewett-Cameron Trading Company,Consumer Services,RETAIL: Building Materials,NASDAQ
JD,"JD.com, Inc.",Consumer Services,Other Specialty Stores,NASDAQ
JE,"Just Energy Group, Inc.",Public Utilities,Oil/Gas Transmission,NYSE
JEC,Jacobs Engineering Group Inc.,Basic Industries,Military/Government/Technical,NYSE
JEF,Jefferies Financial Group Inc.,Finance,Investment Bankers/Brokers/Service,NYSE
JELD,"JELD-WEN Holding, Inc.",Basic Industries,Forest Products,NYSE
JFIN,Jiayin Group Inc.,Finance,Finance: Consumer Services,NASDAQ
JFK,8i Enterprises Acquisition Corp,Finance,Business Services,NASDAQ
JFKKR,8i Enterprises Acquisition Corp,Finance,Business Services,NASDAQ
JFKKU,8i Enterprises Acquisition Corp,Finance,Business Services,NASDAQ
JFKKW,8i Enterprises Acquisition Corp,Finance,Business Services,NASDAQ
JG,Aurora Mobile Limited,Technology,"Computer Software: Programming, Data Processing",NASDAQ
JHG,Janus Henderson Group plc,Finance,Investment Managers,NYSE
JHX,James Hardie Industries plc.,Capital Goods,Building Materials,NYSE
JILL,"J. Jill, Inc.",Consumer Non-Durables,Apparel,NYSE
JJSF,J & J Snack Foods Corp.,Consumer Non-Durables,Specialty Foods,NASDAQ
JKHY,"Jack Henry & Associates, Inc.",Technology,EDP Services,NASDAQ
JKS,JinkoSolar Holding Company Limited,Technology,Semiconductors,NYSE
JLL,Jones Lang LaSalle Incorporated,Finance,Real Estate,NYSE
JMEI,Jumei International Holding Limited,Consumer Services,Other Specialty Stores,NYSE
JMIA,Jumia Technologies AG,Consumer Services,Catalog/Specialty Distribution,NYSE
JMP,JMP Group LLC,Finance,Investment Bankers/Brokers/Service,NYSE
JMPB,JMP Group LLC,Finance,Investment Bankers/Brokers/Service,NYSE
JMPD,JMP Group LLC,Finance,Investment Bankers/Brokers/Service,NYSE
JMU,JMU Limited,Technology,EDP Services,NASDAQ
JNCE,"Jounce Therapeutics, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances),NASDAQ
JNJ,Johnson & Johnson,Health Care,Major Pharmaceuticals,NYSE
JNPR,"Juniper Networks, Inc.",Technology,Computer Communications Equipment,NYSE
JOB,GEE Group Inc.,Technology,Diversified Commercial Services,AMEX
JOBS,"51job, Inc.",Technology,Diversified Commercial Services,NASDAQ
JOE,St. Joe Company (The),Consumer Services,Homebuilding,NYSE
JOUT,Johnson Outdoors Inc.,Consumer Non-Durables,Recreational Products/Toys,NASDAQ
JP,Jupai Holdings Limited,Consumer Services,Other Consumer Services,NYSE
JPM,J P Morgan Chase & Co,Finance,Major Banks,NYSE
JPM^A,J P Morgan Chase & Co,Finance,Major Banks,NYSE
JPM^H,J P Morgan Chase & Co,Finance,Major Banks,NYSE
JRJC,China Finance Online Co. Limited,Finance,Investment Bankers/Brokers/Service,NASDAQ
JRSH,"Jerash Holdings (US), Inc.",Consumer Non-Durables,Apparel,NASDAQ
JRVR,"James River Group Holdings, Ltd.",Finance,Property-Casualty Insurers,NASDAQ
JSM,Navient Corporation,Finance,Finance: Consumer Services,NASDAQ
JSYN,Jensyn Acquistion Corp.,Public Utilities,Natural Gas Distribution,NASDAQ
JSYNR,Jensyn Acquistion Corp.,Public Utilities,Natural Gas Distribution,NASDAQ
JSYNU,Jensyn Acquistion Corp.,Public Utilities,Natural Gas Distribution,NASDAQ
JSYNW,Jensyn Acquistion Corp.,Public Utilities,Natural Gas Distribution,NASDAQ
JT,Jianpu Technology Inc.,Technology,"Computer Software: Programming, Data Processing",NYSE
JVA,"Coffee Holding Co., Inc.",Consumer Non-Durables,Food Distributors,NASDAQ
JWN,"Nordstrom, Inc.",Consumer Services,Clothing/Shoe/Accessory Stores,NYSE
JYNT,The Joint Corp.,Miscellaneous,Multi-Sector Companies,NASDAQ
K,Kellogg Company,Consumer Non-Durables,Packaged Foods,NYSE
KAI,Kadant Inc,Technology,Industrial Machinery/Components,NYSE
KALA,"Kala Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals,NASDAQ
KALU,Kaiser Aluminum Corporation,Capital Goods,Metal Fabrications,NASDAQ
KALV,"KalVista Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals,NASDAQ
KAMN,Kaman Corporation,Consumer Durables,Industrial Specialties,NYSE
KAR,"KAR Auction Services, Inc",Consumer Durables,Automotive Aftermarket,NYSE
KB,KB Financial Group Inc,Finance,Commercial Banks,NYSE
KBAL,"Kimball International, Inc.",Consumer Durables,Home Furnishings,NASDAQ
KBH,KB Home,Capital Goods,Homebuilding,NYSE
KBLM,KBL Merger Corp. IV,Finance,Business Services,NASDAQ
KBLMR,KBL Merger Corp. IV,Finance,Business Services,NASDAQ
KBLMU,KBL Merger Corp. IV,Finance,Business Services,NASDAQ
KBLMW,KBL Merger Corp. IV,Finance,Business Services,NASDAQ
KBR,"KBR, Inc.",Basic Industries,Military/Government/Technical,NYSE
KBSF,KBS Fashion Group Limited,Consumer Non-Durables,Apparel,NASDAQ
KDMN,"Kadmon Holdings, Inc.",Health Care,Major Pharmaceuticals,NYSE
KDP,Keurig Dr Pepper Inc.,Consumer Non-Durables,Beverages (Production/Distribution),NYSE
KE,"Kimball Electronics, Inc.",Technology,Electrical Products,NASDAQ
KEG,"Key Energy Services, Inc.",Energy,Oilfield Services/Equipment,NYSE
KELYA,"Kelly Services, Inc.",Technology,Professional Services,NASDAQ
KELYB,"Kelly Services, Inc.",Technology,Professional Services,NASDAQ
KEM,Kemet Corporation,Capital Goods,Electrical Products,NYSE
KEN,Kenon Holdings Ltd.,Public Utilities,Electric Utilities: Central,NYSE
KEP,Korea Electric Power Corporation,Public Utilities,Electric Utilities: Central,NYSE
KEQU,Kewaunee Scientific Corporation,Capital Goods,Medical Specialities,NASDAQ
KEX,Kirby Corporation,Consumer Services,Marine Transportation,NYSE
KEY,KeyCorp,Finance,Major Banks,NYSE
KEYS,Keysight Technologies Inc.,Capital Goods,Industrial Machinery/Components,NYSE
KEYW,The KEYW Holding Corporation,Technology,EDP Services,NASDAQ
